Word,Rank,Raw Frequency,Raw Range, Normalized Frequency, Normalized Range
into,79,853,298,1252.86,0.89
first,80,843,308,1238.17,0.92
approach,81,814,264,1195.58,0.79
literature,82,803,290,1179.42,0.87
number,83,799,267,1173.55,0.8
order,84,781,266,1147.11,0.8
were,85,773,243,1135.36,0.73
social,86,760,171,1116.26,0.51
important,87,754,266,1107.45,0.8
however,88,747,282,1097.17,0.84
companies,89,738,149,1083.95,0.45
because,90,726,256,1066.33,0.77
necessary,91,720,256,1057.51,0.77
how,92,714,330,1048.7,0.99
part,93,705,325,1035.48,0.97
been,94,698,277,1025.2,0.83
project,95,695,196,1020.79,0.59
out,96,682,333,1001.7,1.0
economic,97,680,210,998.76,0.63
political,98,678,106,995.83,0.32
russia,99,671,242,985.54,0.72
what,100,665,258,976.73,0.77
using,101,659,260,967.92,0.78
may,102,656,236,963.51,0.71
problems,103,654,218,960.58,0.65
them,104,649,286,953.23,0.86
following,105,623,260,915.04,0.78
works,106,622,224,913.57,0.67
people,107,620,185,910.64,0.55
state,108,615,316,903.29,0.95
so,109,607,334,891.54,1.0
according,109,607,250,891.54,0.75
who,111,604,297,887.14,0.89
well,112,599,234,879.79,0.7
possible,113,596,258,875.39,0.77
concept,114,582,228,854.82,0.68
his,115,580,334,851.89,1.0
studies,116,576,213,846.01,0.64
many,117,575,248,844.54,0.74
level,118,573,215,841.6,0.64
theoretical,119,564,221,828.39,0.66
authors,120,561,200,823.98,0.6
two,121,553,257,812.23,0.77
organization,122,550,174,807.82,0.52
soviet,123,546,47,801.95,0.14
basis,124,545,240,800.48,0.72
result,125,544,331,799.01,0.99
fact,126,538,305,790.2,0.91
life,127,533,138,782.85,0.41
general,127,533,247,782.85,0.74
help,129,531,269,779.92,0.81
features,130,528,196,775.51,0.59
practice,131,520,195,763.76,0.58
author,131,520,265,763.76,0.79
various,133,513,226,753.48,0.68
criminal,133,513,34,753.48,0.1
make,135,512,268,752.01,0.8
analyze,136,511,268,750.54,0.8
approaches,137,508,189,746.13,0.57
production,138,505,97,741.73,0.29
considered,139,502,231,737.32,0.69
when,140,500,229,734.38,0.69
legislation,140,500,85,734.38,0.25
example,142,499,254,732.92,0.76
field,142,499,224,732.92,0.67
application,144,498,151,731.45,0.45
period,145,496,175,728.51,0.52
each,146,495,247,727.04,0.74
thus,146,495,207,727.04,0.62
paper,148,491,203,721.17,0.61
key,149,489,249,718.23,0.75
our,150,487,326,715.29,0.98
way,151,480,291,705.01,0.87
influence,152,479,199,703.54,0.6
specific,153,478,252,702.07,0.75
identify,154,472,213,693.26,0.64
moreover,155,470,205,690.32,0.61
purpose,156,469,247,688.85,0.74
processes,157,468,139,687.38,0.42
if,158,466,334,684.45,1.0
existing,158,466,188,684.45,0.56
1,158,466,313,684.45,0.94
value,161,464,186,681.51,0.56
international,162,462,82,678.57,0.25
activity,163,460,161,675.63,0.48
rights,163,460,84,675.63,0.25
case,165,457,234,671.23,0.7
set,166,456,267,669.76,0.8
review,166,456,263,669.76,0.79
federation,168,454,90,666.82,0.27
significant,169,451,238,662.42,0.71
countries,169,451,111,662.42,0.33
since,171,450,202,660.95,0.6
current,172,445,219,653.6,0.66
property,173,442,53,649.2,0.16
could,174,438,160,643.32,0.48
regulation,175,436,93,640.38,0.28
issues,176,435,172,638.91,0.51
foreign,176,435,138,638.91,0.41
terms,176,435,199,638.91,0.6
several,179,434,211,637.45,0.63
another,179,434,209,637.45,0.63
developed,181,433,197,635.98,0.59
than,182,432,219,634.51,0.66
performance,183,431,115,633.04,0.34
bankruptcy,184,430,21,631.57,0.06
present,185,429,287,630.1,0.86
article,186,427,204,627.16,0.61
during,187,424,196,622.76,0.59
particular,187,424,231,622.76,0.69
issue,187,424,241,622.76,0.72
both,190,423,215,621.29,0.64
quality,191,422,142,619.82,0.43
he,192,411,334,603.66,1.0
through,193,408,213,599.26,0.64
customer,194,404,88,593.38,0.26
modern,195,403,191,591.91,0.57
due,195,403,211,591.91,0.63
methodology,197,402,185,590.45,0.55
2,198,401,306,588.98,0.92
any,199,400,313,587.51,0.94
professional,200,399,198,586.04,0.59
subject,201,396,216,581.63,0.65
need,202,395,248,580.16,0.74
implementation,202,395,155,580.16,0.46
researchers,204,394,168,578.7,0.5
practical,204,394,192,578.7,0.57
impact,206,393,158,577.23,0.47
no,206,393,334,577.23,1.0
structure,208,392,207,575.76,0.62
characteristics,209,391,148,574.29,0.44
question,210,390,263,572.82,0.79
same,210,390,200,572.82,0.6
allows,212,386,191,566.95,0.57
develop,212,386,311,566.95,0.93
conclusion,214,384,274,564.01,0.82
control,214,384,137,564.01,0.41
after,216,383,206,562.54,0.62
do,217,381,332,559.6,0.99
within,217,381,176,559.6,0.53
models,219,380,103,558.13,0.31
under,219,380,311,558.13,0.93
area,221,373,209,547.85,0.63
financial,221,373,117,547.85,0.35
does,223,372,197,546.38,0.59
determine,224,371,243,544.91,0.73
consider,225,370,310,543.44,0.93
society,226,368,106,540.51,0.32
provide,227,366,252,537.57,0.75
‚,227,366,160,537.57,0.48
means,229,365,182,536.1,0.54
certain,230,363,204,533.16,0.61
behavior,230,363,105,533.16,0.31
therefore,232,360,189,528.76,0.57
further,233,359,216,527.29,0.65
3,233,359,265,527.29,0.79
large,235,358,228,525.82,0.68
individual,235,358,170,525.82,0.51
systems,237,356,117,522.88,0.35
made,238,355,202,521.41,0.6
price,239,354,71,519.94,0.21
create,239,354,223,519.94,0.67
perm,239,354,125,519.94,0.37
investigation,242,351,131,515.54,0.39
would,242,351,162,515.54,0.49
scientific,244,349,165,512.6,0.49
role,244,349,177,512.6,0.53
text,246,347,180,509.66,0.54
attention,247,346,183,508.19,0.55
mentioned,248,345,202,506.73,0.6
form,249,344,331,505.26,0.99
design,250,340,149,499.38,0.45
significance,250,340,213,499.38,0.64
view,252,339,303,497.91,0.91
procedure,253,336,137,493.51,0.41
e,254,335,334,492.04,1.0
world,254,335,166,492.04,0.5
addition,256,334,214,490.57,0.64
services,257,333,119,489.1,0.36
common,257,333,181,489.1,0.54
relations,257,333,208,489.1,0.62
allow,260,332,247,487.63,0.74
marketing,260,332,53,487.63,0.16
nature,260,332,131,487.63,0.39
obtained,260,332,173,487.63,0.52
p,260,332,332,487.63,0.99
special,265,331,250,486.16,0.75
my,266,329,206,483.23,0.62
among,267,328,188,481.76,0.56
amount,267,328,189,481.76,0.57
increase,269,327,198,480.29,0.59
second,269,327,234,480.29,0.7
point,271,325,235,477.35,0.7
cases,271,325,133,477.35,0.4
related,273,323,185,474.41,0.55
ways,274,322,213,472.94,0.64
framework,275,321,174,471.48,0.52
background,275,321,247,471.48,0.74
aspects,277,319,165,468.54,0.49
understand,278,318,246,467.07,0.74
tools,278,318,112,467.07,0.34
civil,278,318,81,467.07,0.24
sources,281,317,215,465.6,0.64
understanding,282,316,176,464.13,0.53
effective,283,315,192,462.66,0.57
us,283,315,315,462.66,0.94
strategic,285,313,45,459.72,0.13
very,285,313,250,459.72,0.75
real,287,311,243,456.79,0.73
type,287,311,225,456.79,0.67
stage,289,310,165,455.32,0.49
future,289,310,163,455.32,0.49
types,289,310,158,455.32,0.47
high,292,309,259,453.85,0.78
theory,292,309,148,453.85,0.44
culture,292,309,80,453.85,0.24
up,295,308,308,452.38,0.92
party,295,308,52,452.38,0.16
where,297,307,186,450.91,0.56
industry,298,306,90,449.44,0.27
service,299,304,159,446.51,0.48
historical,299,304,100,446.51,0.3
changes,301,302,149,443.57,0.45
product,301,302,186,443.57,0.56
tasks,303,299,174,439.16,0.52
over,303,299,299,439.16,0.9
goal,305,297,226,436.22,0.68
conditions,306,296,153,434.76,0.46
proposal,307,295,148,433.29,0.44
public,308,294,174,431.82,0.52
term,309,292,292,428.88,0.87
knowledge,309,292,164,428.88,0.49
interest,311,291,252,427.41,0.75
topic,312,290,181,425.94,0.54
code,312,290,92,425.94,0.28
activities,312,290,122,425.94,0.37
aim,315,289,274,424.47,0.82
brand,315,289,31,424.47,0.09
find,317,286,237,420.07,0.71
‚ê,317,286,147,420.07,0.44
history,319,285,93,418.6,0.28
et,320,283,283,415.66,0.85
strategy,321,281,85,412.72,0.25
studied,321,281,153,412.72,0.46
al,323,280,280,411.26,0.84
scholars,323,280,128,411.26,0.38
experience,325,279,143,409.79,0.43
years,326,278,161,408.32,0.48
described,326,278,144,408.32,0.43
great,328,276,185,405.38,0.55
relationship,328,276,157,405.38,0.47
court,328,276,68,405.38,0.2
investment,331,275,67,403.91,0.2
plan,331,275,189,403.91,0.57
situation,333,273,169,400.97,0.51
corporate,333,273,57,400.97,0.17
sphere,335,272,145,399.51,0.43
rules,335,272,98,399.51,0.29
power,335,272,141,399.51,0.42
while,338,270,156,396.57,0.47
person,338,270,211,396.57,0.63
then,340,269,192,395.1,0.57
tax,340,269,43,395.1,0.13
resources,342,268,135,393.63,0.4
parties,342,268,57,393.63,0.17
account,344,265,173,389.22,0.52
limitations,344,265,265,389.22,0.79
effect,346,264,238,387.76,0.71
similar,347,263,176,386.29,0.53
organizations,347,263,99,386.29,0.3
last,347,263,184,386.29,0.55
questions,347,263,145,386.29,0.43
variables,347,263,70,386.29,0.21
non,352,261,188,383.35,0.56
objectives,352,261,182,383.35,0.54
those,352,261,150,383.35,0.45
take,352,261,261,383.35,0.78
policy,356,260,93,381.88,0.28
group,357,259,161,380.41,0.48
researches,357,259,117,380.41,0.35
environment,359,257,124,377.47,0.37
statement,360,255,239,374.54,0.72
includes,361,254,155,373.07,0.46
customers,361,254,66,373.07,0.2
costs,363,253,83,371.6,0.25
achieve,363,253,230,371.6,0.69
web,363,253,84,371.6,0.25
place,363,253,199,371.6,0.6
right,367,252,160,370.13,0.48
internet,368,251,64,368.66,0.19
internal,369,250,103,367.19,0.31
definition,370,249,185,365.72,0.55
anticipated,370,249,194,365.72,0.58
capital,370,249,76,365.72,0.23
including,373,247,157,362.79,0.47
requirements,373,247,93,362.79,0.28
applied,375,246,155,361.32,0.46
importance,376,245,149,359.85,0.45
improve,376,245,188,359.85,0.56
given,376,245,153,359.85,0.46
user,376,245,69,359.85,0.21
national,376,245,132,359.85,0.4
own,381,244,244,358.38,0.73
judicial,381,244,55,358.38,0.16
complex,383,243,164,356.91,0.49
relevant,383,243,153,356.91,0.46
principles,385,242,97,355.44,0.29
analyzed,386,241,157,353.97,0.47
give,386,241,241,353.97,0.72
developing,386,241,131,353.97,0.39
status,389,240,70,352.5,0.21
students,389,240,70,352.5,0.21
lack,391,239,171,351.04,0.51
education,391,239,89,351.04,0.27
like,393,238,227,349.57,0.68
context,394,237,135,348.1,0.4
states,394,237,97,348.1,0.29
family,396,236,41,346.63,0.12
must,397,235,126,345.16,0.38
everyday,397,235,34,345.16,0.1
creation,399,234,115,343.69,0.34
include,399,234,234,343.69,0.7
found,401,233,209,342.22,0.63
above,402,232,151,340.75,0.45
three,402,232,138,340.75,0.41
etc,404,231,127,339.29,0.38
century,404,231,90,339.29,0.27
presented,406,230,157,337.82,0.47
game,407,229,25,336.35,0.07
program,408,228,119,334.88,0.36
comparative,408,228,108,334.88,0.32
language,410,226,79,331.94,0.24
decision,411,225,151,330.47,0.45
limited,411,225,146,330.47,0.44
art,411,225,225,330.47,0.67
region,411,225,90,330.47,0.27
appropriate,415,224,135,329.0,0.4
studying,416,223,138,327.54,0.41
idea,416,223,204,327.54,0.61
government,416,223,104,327.54,0.31
consumer,416,223,74,327.54,0.22
going,420,219,121,321.66,0.36
efficiency,421,218,97,320.19,0.29
had,421,218,124,320.19,0.37
whole,423,217,143,318.72,0.43
making,423,217,127,318.72,0.38
creating,423,217,108,318.72,0.32
previous,426,216,152,317.25,0.46
support,426,216,160,317.25,0.48
useful,426,216,130,317.25,0.39
smart,426,216,19,317.25,0.06
managers,426,216,77,317.25,0.23
protection,431,215,48,315.79,0.14
contract,432,214,53,314.32,0.16
expected,433,213,135,312.85,0.4
basic,433,213,143,312.85,0.43
articles,433,213,132,312.85,0.4
d,433,213,213,312.85,0.64
object,437,212,212,311.38,0.63
get,437,212,212,311.38,0.63
documents,437,212,83,311.38,0.25
created,440,211,118,309.91,0.35
employees,440,211,68,309.91,0.2
organizational,440,211,70,309.91,0.21
without,440,211,141,309.91,0.42
4,440,211,211,309.91,0.63
often,440,211,128,309.91,0.38
measures,440,211,72,309.91,0.22
human,447,210,122,308.44,0.37
define,447,210,205,308.44,0.61
show,447,210,210,308.44,0.63
scientists,447,210,101,308.44,0.3
needs,451,209,123,306.97,0.37
long,452,208,189,305.5,0.57
position,452,208,166,305.5,0.5
demand,454,207,96,304.04,0.29
provides,455,206,139,302.57,0.42
country,455,206,106,302.57,0.32
solve,455,206,184,302.57,0.55
norms,455,206,73,302.57,0.22
connected,459,205,120,301.1,0.36
describe,459,205,205,301.1,0.61
concepts,459,205,122,301.1,0.37
defined,462,204,131,299.63,0.39
criteria,462,204,87,299.63,0.26
focus,462,204,204,299.63,0.61
m,462,204,204,299.63,0.61
crimes,462,204,24,299.63,0.07
change,467,202,202,296.69,0.6
external,467,202,90,296.69,0.27
actions,467,202,138,296.69,0.41
shows,467,202,130,296.69,0.39
loyalty,467,202,29,296.69,0.09
devoted,467,202,114,296.69,0.34
planning,473,201,59,295.22,0.18
institution,474,200,115,293.75,0.34
groups,474,200,106,293.75,0.32
every,474,200,158,293.75,0.47
tool,474,200,150,293.75,0.45
interpretation,474,200,104,293.75,0.31
stock,474,200,40,293.75,0.12
small,480,199,115,292.29,0.34
indicators,480,199,70,292.29,0.21
become,480,199,187,292.29,0.56
assets,480,199,40,292.29,0.12
media,480,199,110,292.29,0.33
lean,480,199,25,292.29,0.07
software,486,198,47,290.82,0.14
step,486,198,128,290.82,0.38
better,486,198,124,290.82,0.37
goods,486,198,75,290.82,0.22
introduction,490,197,197,289.35,0.59
next,490,197,122,289.35,0.37
why,490,197,121,289.35,0.36
delimitations,490,197,178,289.35,0.53
firm,494,196,144,287.88,0.43
potential,494,196,130,287.88,0.39
communication,496,195,98,286.41,0.29
city,496,195,115,286.41,0.34
finally,498,194,134,284.94,0.4
helps,498,194,132,284.94,0.4
self,498,194,141,284.94,0.42
positive,498,194,109,284.94,0.33
ideas,498,194,101,284.94,0.3
despite,503,193,129,283.47,0.39
analyzing,503,193,124,283.47,0.37
task,503,193,193,283.47,0.58
regression,503,193,58,283.47,0.17
phenomenon,503,193,94,283.47,0.28
v,503,193,193,283.47,0.58
much,509,192,125,282.0,0.37
still,509,192,121,282.0,0.36
network,509,192,57,282.0,0.17
school,509,192,56,282.0,0.17
formation,509,192,192,282.0,0.57
success,514,191,161,280.53,0.48
findings,514,191,115,280.53,0.34
users,516,190,51,279.07,0.15
comparison,516,190,131,279.07,0.39
reveal,516,190,178,279.07,0.53
being,519,189,120,277.6,0.36
t,519,189,189,277.6,0.57
others,519,189,138,277.6,0.41
2015,519,189,98,277.6,0.29
able,523,188,188,276.13,0.56
r,524,187,187,274.66,0.56
firstly,525,186,116,273.19,0.35
affect,525,186,161,273.19,0.48
lot,525,186,140,273.19,0.42
interaction,525,186,100,273.19,0.3
document,525,186,127,273.19,0.38
institute,530,185,59,271.72,0.18
cultural,531,184,73,270.25,0.22
competition,532,183,63,268.78,0.19
pay,532,183,129,268.78,0.39
growth,534,182,90,267.32,0.27
elements,534,182,104,267.32,0.31
liability,534,182,54,267.32,0.16
gives,537,181,127,265.85,0.38
book,537,181,113,265.85,0.34
proposed,537,181,111,265.85,0.33
increasing,540,180,140,264.38,0.42
good,540,180,142,264.38,0.43
cannot,540,180,119,264.38,0.36
even,543,179,179,262.91,0.54
solution,543,179,143,262.91,0.43
memory,543,179,20,262.91,0.06
factor,543,179,179,262.91,0.54
before,547,178,128,261.44,0.38
called,547,178,104,261.44,0.31
search,547,178,178,261.44,0.53
economy,547,178,88,261.44,0.26
end,547,178,178,261.44,0.53
federal,552,177,70,259.97,0.21
content,552,177,97,259.97,0.29
higher,552,177,88,259.97,0.26
differences,552,177,112,259.97,0.34
products,556,176,67,258.5,0.2
reason,556,176,176,258.5,0.53
provided,556,176,114,258.5,0.34
working,556,176,107,258.5,0.32
conducted,556,176,110,258.5,0.33
decisions,561,175,89,257.03,0.27
local,561,175,81,257.03,0.24
image,561,175,55,257.03,0.16
risk,564,174,67,255.57,0.2
describes,564,174,98,255.57,0.29
taken,564,174,138,255.57,0.41
consumption,564,174,28,255.57,0.08
academic,568,173,57,254.1,0.17
events,568,173,74,254.1,0.22
independent,568,173,80,254.1,0.24
choice,568,173,91,254.1,0.27
past,572,172,76,252.63,0.23
values,573,171,75,251.16,0.22
representation,573,171,53,251.16,0.16
possibility,573,171,111,251.16,0.33
empirical,573,171,103,251.16,0.31
agreement,573,171,65,251.16,0.19
enforcement,573,171,51,251.16,0.15
practices,579,170,74,249.69,0.22
european,580,169,66,248.22,0.2
makes,580,169,122,248.22,0.37
examine,580,169,169,248.22,0.51
solutions,583,168,89,246.75,0.27
effectiveness,583,168,87,246.75,0.26
5,583,168,168,246.75,0.5
popular,583,168,124,246.75,0.37
proceedings,587,167,31,245.28,0.09
private,588,166,69,243.82,0.21
consideration,588,166,124,243.82,0.37
functions,588,166,86,243.82,0.26
reasons,588,166,105,243.82,0.31
personal,592,165,117,242.35,0.35
outcomes,592,165,103,242.35,0.31
ancient,592,165,20,242.35,0.06
goals,595,164,94,240.88,0.28
community,595,164,57,240.88,0.17
employee,595,164,72,240.88,0.22
especially,595,164,113,240.88,0.34
firms,595,164,66,240.88,0.2
networks,600,163,35,239.41,0.1
interests,600,163,87,239.41,0.26
range,602,162,129,237.94,0.39
united,602,162,61,237.94,0.18
gender,602,162,26,237.94,0.08
seems,605,161,107,236.47,0.32
hand,605,161,117,236.47,0.35
improvement,605,161,88,236.47,0.26
training,608,160,48,235.0,0.14
american,608,160,78,235.0,0.23
commercial,610,159,56,233.53,0.17
written,610,159,92,233.53,0.28
electoral,610,159,13,233.53,0.04
identified,613,158,102,232.07,0.31
qualitative,613,158,97,232.07,0.29
aimed,613,158,113,232.07,0.34
mediation,613,158,6,232.07,0.02
administrative,617,157,45,230.6,0.13
assessment,617,157,80,230.6,0.24
logistics,617,157,13,230.6,0.04
building,620,156,79,229.13,0.24
secondly,620,156,113,229.13,0.34
source,620,156,156,229.13,0.47
regional,620,156,45,229.13,0.13
women,620,156,22,229.13,0.07
chosen,625,155,99,227.66,0.3
prices,625,155,42,227.66,0.13
successful,625,155,113,227.66,0.34
lead,625,155,155,227.66,0.46
Ô,625,155,155,227.66,0.46
supply,625,155,41,227.66,0.12
associated,631,154,94,226.19,0.28
whether,631,154,94,226.19,0.28
you,631,154,122,226.19,0.37
already,631,154,95,226.19,0.28
hr,631,154,154,226.19,0.46
crime,631,154,36,226.19,0.11
competitive,637,153,84,224.72,0.25
integration,637,153,40,224.72,0.12
points,637,153,106,224.72,0.32
recommendations,637,153,75,224.72,0.22
acts,637,153,142,224.72,0.43
available,642,152,106,223.25,0.32
consumers,642,152,47,223.25,0.14
likely,642,152,114,223.25,0.34
definitions,642,152,118,223.25,0.35
sample,642,152,66,223.25,0.2
regions,642,152,37,223.25,0.11
effects,642,152,62,223.25,0.19
best,649,151,96,221.78,0.29
numerous,649,151,109,221.78,0.33
enterprise,651,150,72,220.32,0.22
description,651,150,98,220.32,0.29
quite,651,150,103,220.32,0.31
share,651,150,101,220.32,0.3
less,651,150,150,220.32,0.45
innovation,651,150,44,220.32,0.13
kind,657,149,121,218.85,0.36
objective,657,149,149,218.85,0.45
science,657,149,93,218.85,0.28
relationships,657,149,76,218.85,0.23
principle,661,148,135,217.38,0.4
employed,661,148,57,217.38,0.17
final,661,148,148,217.38,0.44
essential,661,148,123,217.38,0.37
database,665,147,69,215.91,0.21
overall,665,147,102,215.91,0.31
noted,665,147,99,215.91,0.3
g,665,147,147,215.91,0.44
negative,665,147,93,215.91,0.28
population,665,147,76,215.91,0.23
courts,665,147,44,215.91,0.13
collected,672,146,97,214.44,0.29
determined,672,146,105,214.44,0.31
required,672,146,93,214.44,0.28
consists,672,146,99,214.44,0.3
forms,672,146,125,214.44,0.37
citizens,672,146,70,214.44,0.21
legislative,672,146,57,214.44,0.17
major,679,145,145,212.97,0.43
strategies,679,145,71,212.97,0.21
authorities,679,145,54,212.97,0.16
war,679,145,145,212.97,0.43
list,683,144,144,211.5,0.43
difficult,683,144,144,211.5,0.43
average,683,144,49,211.5,0.15
stages,686,143,82,210.03,0.25
requires,686,143,105,210.03,0.31
domestic,686,143,46,210.03,0.14
statistical,686,143,88,210.03,0.26
algorithm,690,142,55,208.57,0.16
intellectual,690,142,34,208.57,0.1
2009,690,142,74,208.57,0.22
cost,693,141,127,207.1,0.38
build,693,141,135,207.1,0.4
construction,693,141,76,207.1,0.23
variable,693,141,82,207.1,0.25
needed,697,140,87,205.63,0.26
bank,697,140,56,205.63,0.17
few,699,139,110,204.16,0.33
attempt,699,139,139,204.16,0.42
today,699,139,90,204.16,0.27
rate,699,139,139,204.16,0.42
responsibility,699,139,47,204.16,0.14
hypothesis,699,139,76,204.16,0.23
housing,699,139,18,204.16,0.05
done,706,138,100,202.69,0.3
distribution,706,138,73,202.69,0.22
parts,708,137,82,201.22,0.25
usually,708,137,88,201.22,0.26
conclusions,708,137,97,201.22,0.29
algorithms,708,137,35,201.22,0.1
space,708,137,73,201.22,0.22
against,708,137,58,201.22,0.17
act,708,137,137,201.22,0.41
implemented,715,136,80,199.75,0.24
learning,715,136,40,199.75,0.12
entities,715,136,40,199.75,0.12
n,715,136,136,199.75,0.41
taking,719,135,94,198.28,0.28
estate,719,135,24,198.28,0.07
investigated,719,135,95,198.28,0.28
carried,719,135,97,198.28,0.29
body,719,135,78,198.28,0.23
collection,724,134,75,196.82,0.22
participants,724,134,72,196.82,0.22
additional,724,134,100,196.82,0.3
year,724,134,134,196.82,0.4
classification,724,134,71,196.82,0.21
focused,724,134,91,196.82,0.27
skills,730,133,54,195.35,0.16
measure,730,133,133,195.35,0.4
compare,730,133,133,195.35,0.4
stated,730,133,93,195.35,0.28
third,730,133,120,195.35,0.36
storage,730,133,22,195.35,0.07
turn,730,133,133,195.35,0.4
discussed,730,133,92,195.35,0.28
preferences,730,133,40,195.35,0.12
techniques,739,132,72,193.88,0.22
food,739,132,24,193.88,0.07
traditional,739,132,94,193.88,0.28
flow,739,132,64,193.88,0.19
investigate,739,132,132,193.88,0.4
insolvency,739,132,14,193.88,0.04
focuses,745,131,96,192.41,0.29
size,745,131,131,192.41,0.39
considering,745,131,100,192.41,0.3
c,745,131,131,192.41,0.39
age,745,131,131,192.41,0.39
connection,750,130,112,190.94,0.34
opinion,750,130,111,190.94,0.33
2004,750,130,66,190.94,0.2
shareholders,750,130,15,190.94,0.04
comprehensive,754,129,93,189.47,0.28
technologies,754,129,68,189.47,0.2
games,754,129,13,189.47,0.04
selection,754,129,69,189.47,0.21
material,754,129,110,189.47,0.33
2007,754,129,74,189.47,0.22
øintroduction,754,129,129,189.47,0.39
religion,754,129,14,189.47,0.04
explore,762,128,127,188.0,0.38
fraud,762,128,13,188.0,0.04
contains,764,127,88,186.53,0.26
base,764,127,127,186.53,0.38
explain,764,127,127,186.53,0.38
chain,767,126,33,185.06,0.1
ones,767,126,124,185.06,0.37
processing,767,126,49,185.06,0.15
reduce,767,126,99,185.06,0.3
formal,767,126,102,185.06,0.31
2010,767,126,69,185.06,0.21
procurement,767,126,7,185.06,0.02
might,774,125,72,183.6,0.22
see,774,125,125,183.6,0.37
operations,774,125,52,183.6,0.16
besides,777,124,81,182.13,0.24
predicted,777,124,92,182.13,0.28
divided,777,124,98,182.13,0.29
achieved,777,124,98,182.13,0.29
student,777,124,81,182.13,0.24
entity,777,124,66,182.13,0.2
difference,783,123,123,180.66,0.37
apply,783,123,123,180.66,0.37
known,783,123,97,180.66,0.29
visual,783,123,53,180.66,0.16
access,783,123,98,180.66,0.29
interesting,783,123,97,180.66,0.29
energy,783,123,18,180.66,0.05
2014,783,123,71,180.66,0.21
individuals,783,123,52,180.66,0.16
correlation,783,123,65,180.66,0.19
profit,793,122,101,179.19,0.3
single,793,122,81,179.19,0.24
2013,793,122,64,179.19,0.19
online,793,122,39,179.19,0.12
itself,793,122,81,179.19,0.24
objects,793,122,52,179.19,0.16
start,793,122,117,179.19,0.35
news,793,122,28,179.19,0.08
papers,793,122,78,179.19,0.23
probability,793,122,41,179.19,0.12
neural,793,122,9,179.19,0.03
mechanisms,793,122,68,179.19,0.2
laws,793,122,71,179.19,0.21
copyright,793,122,9,179.19,0.03
functional,807,121,99,177.72,0.3
established,807,121,76,177.72,0.23
technology,807,121,62,177.72,0.19
reality,807,121,73,177.72,0.22
j,807,121,121,177.72,0.36
modeling,807,121,50,177.72,0.15
institutions,813,120,60,176.25,0.18
enough,813,120,95,176.25,0.28
function,813,120,120,176.25,0.36
directly,813,120,96,176.25,0.29
wide,813,120,120,176.25,0.36
identification,813,120,77,176.25,0.23
low,813,120,120,176.25,0.36
